pic, Ma, NIQE
01.png,9.018518774859942,2.302034022801884
02.png,9.079632201909988,2.239270905934634
03.png,7.998082978419337,2.223800056394971
04.png,6.841630469779071,2.6628934719546686
05.png,8.09079342897847,1.9711646384108297
06.png,8.522728295884303,2.6708616447308597
07.png,6.953768477115073,2.116265471013568
08.png,7.642137724177773,2.5714673416149503
09.png,8.374600849444837,2.7487651484041193
10.png,8.531064811860922,2.595848744743529
11.png,6.892562425740518,2.7044648695662437
12.png,7.502854950910039,2.43084480880339
13.png,7.102835964432867,2.226433378249784
14.png,8.404770735018882,2.7203940125376396
15.png,6.808490077081247,2.865285989421735
16.png,8.410851527944207,2.8842372899610167
17.png,7.479707684739163,2.0735735488894558
18.png,8.852995030123434,4.087165548993809
19.png,6.575019540633063,3.871998210695161
20.png,6.952411778887985,2.008651317083919
21.png,8.495985928234765,1.9573454241796142
22.png,6.923535402866945,2.8269806708014427
23.png,6.943116699651647,2.1559519511436993
24.png,8.25294464404753,3.2803774026682517
25.png,6.954202164218919,2.701748430657795
26.png,6.920817819389203,1.9180290552924226
27.png,7.3577045798913145,2.0324527625177375
28.png,7.411637639495786,4.355313637457828
29.png,8.552410998088178,2.86209516933863
30.png,8.729419038339657,2.6911885219791003
31.png,8.344394259764323,2.8451239582169046
32.png,7.096606455863329,2.746719111116373
33.png,6.973361567658582,2.5876000589241213
34.png,8.777281756568428,2.8002379726072406
35.png,6.831708359309708,2.482839880254964
36.png,8.252672165984979,3.221697535801937
37.png,6.917466352397551,2.680968935299738
38.png,6.81134798977269,3.0829037189591144
39.png,9.033893590942075,2.8781311665701574
40.png,6.895216421626525,2.0541994301472744
41.png,6.911104736256102,2.0731607630224156
42.png,6.8735953178921,3.160860376079986
43.png,6.9087455183677635,2.587066795534047
44.png,8.887582037729405,3.04118341076502
45.png,6.89366394883782,2.425135940104651
46.png,6.929464411539929,2.642879375335221
47.png,6.8910788956364755,2.622670282360268
48.png,7.037843015502889,1.983057792320554
49.png,7.168200032883867,2.8586084920999633
50.png,6.916971506640927,2.5335594577357607
51.png,6.803509365906792,2.670342778116714
52.png,6.938865123872131,1.9347576356063356
53.png,6.76335984978573,3.1853818798612115
54.png,6.824954528695214,3.1080475865890267
55.png,6.869785766580465,2.530027815871973
56.png,7.467448355289923,2.405233114951535
57.png,6.89529766473925,2.231534586420594
58.png,6.121967386249056,4.031590062935392
59.png,7.742208585689221,3.7681521796598947
60.png,6.861176924435559,2.2196849985350346
61.png,6.86975785813098,2.2511552406193562
62.png,7.6913416923074065,3.458586846523753
63.png,6.9486504712873325,3.2455946708559806
64.png,8.694831316840382,3.902927202465037
65.png,6.834756592140442,2.4462033360844506
66.png,8.972452236583683,2.6616128861791966
67.png,8.377552192761144,3.0956862079359397
68.png,8.708128876549438,2.5702528529258646
69.png,6.971484079810482,1.9109731892141477
70.png,6.467789490666553,4.007872924921763
71.png,6.787611493722768,2.722207059255279
72.png,6.637737238142735,3.2546282093323398
73.png,6.867937273051245,2.5594159944382966
74.png,6.810316072075947,2.980025743244823
75.png,6.907134885708346,1.9696019018317297
76.png,6.857730264849383,2.3922305561639376
77.png,6.871530644417789,2.5883122193745702
78.png,6.804051496471612,2.032676045260887
79.png,6.84188580060602,2.4651040905618076
80.png,6.8571863917535385,2.3900190468679767
